id,title,authors,year,abstract,keywords,category,document_type,language,source_url,file_url
1,Основы машинного обучения,Иванов И.И.,2022,Введение в методы машинного обучения и базовые алгоритмы классификации и регрессии.,машинное обучение; python; классификация; регрессия,Информатика,book,ru,,/files/doc1.pdf
2,Базы данных в научных системах,Петров П.П.,2021,Описание реляционных и нереляционных баз данных для научных информационных систем.,базы данных; sql; nosql; информационные системы,Информатика,book,ru,,/files/doc2.pdf
3,Экология морских систем,Сидоров С.С.,2020,"Исследование морских экосистем, устойчивости биологических сообществ и антропогенного воздействия.",экология; море; биология; экосистемы,Биология,article,ru,,/files/doc3.pdf
4,Основы академического письма,Смирнова А.В.,2023,"Методы подготовки научных текстов, оформления статей и работы с источниками.",академическое письмо; статьи; исследование; оформление,Филология,manual,ru,,/files/doc4.pdf
5,Введение в анализ данных,Кузнецов Д.А.,2022,"Базовые методы анализа, очистки и визуализации данных в прикладных задачах.",анализ данных; python; статистика; визуализация,Информатика,book,ru,,/files/doc5.pdf
6,Алгоритмы и структуры данных: практические аспекты,Лебедев М.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «алгоритмы и структуры данных», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",алгоритмы; структуры данных; сложность; программирование,Информатика,manual,ru,,/files/doc6.pdf
7,Компьютерные сети,Васильева Н.Н.,2023,"Рассматриваются теоретические и прикладные аспекты темы «компьютерные сети», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",сети; tcp/ip; маршрутизация; протоколы,Информатика,thesis,ru,,/files/doc7.pdf
8,Операционные системы,Алексеев К.П.,2017,"Рассматриваются теоретические и прикладные аспекты темы «операционные системы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",операционные системы; процессы; память; linux,Информатика,book,ru,,/files/doc8.pdf
9,Инженерия программного обеспечения: практические аспекты,Егорова Т.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «инженерия программного обеспечения», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",программная инженерия; тестирование; архитектура; проектирование,Информатика,article,ru,,/files/doc9.pdf
10,Информационная безопасность,Орлов А.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «информационная безопасность», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",безопасность; шифрование; аутентификация; уязвимости,Информатика,manual,ru,,/files/doc10.pdf
11,Нейронные сети,Морозова Е.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «нейронные сети», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",нейронные сети; deep learning; python; tensorflow,Информатика,thesis,ru,,/files/doc11.pdf
12,Обработка естественного языка: практические аспекты,Никитин Р.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «обработка естественного языка», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",nlp; тексты; трансформеры; язык,Информатика,book,ru,,/files/doc12.pdf
13,Веб-разработка,Соколова Ю.П.,2019,"Рассматриваются теоретические и прикладные аспекты темы «веб-разработка», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",веб; backend; frontend; api,Информатика,article,ru,,/files/doc13.pdf
14,Облачные вычисления,Попов Д.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «облачные вычисления», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",облака; виртуализация; docker; kubernetes,Информатика,manual,ru,,/files/doc14.pdf
15,Компьютерное зрение: практические аспекты,Фролова И.А.,2023,"Рассматриваются теоретические и прикладные аспекты темы «компьютерное зрение», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",изображения; компьютерное зрение; opencv; сверточные сети,Информатика,thesis,ru,,/files/doc15.pdf
16,Статистический анализ,Лебедев М.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «статистический анализ», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",статистика; вероятность; выборка; гипотезы,Математика,book,ru,,/files/doc16.pdf
17,Линейная алгебра,Васильева Н.Н.,2019,"Рассматриваются теоретические и прикладные аспекты темы «линейная алгебра», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",матрицы; векторы; линейные пространства; собственные значения,Математика,article,ru,,/files/doc17.pdf
18,Математическое моделирование: практические аспекты,Алексеев К.П.,2021,"Рассматриваются теоретические и прикладные аспекты темы «математическое моделирование», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",моделирование; дифференциальные уравнения; симуляция; численные методы,Математика,manual,ru,,/files/doc18.pdf
19,Теория вероятностей,Егорова Т.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «теория вероятностей», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",вероятность; случайные величины; распределения; стохастика,Математика,thesis,ru,,/files/doc19.pdf
20,Численные методы,Орлов А.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «численные методы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",численные методы; аппроксимация; интегрирование; оптимизация,Математика,book,ru,,/files/doc20.pdf
21,Генетика человека: практические аспекты,Морозова Е.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «генетика человека», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",генетика; днк; наследственность; геном,Биология,article,ru,,/files/doc21.pdf
22,Молекулярная биология,Никитин Р.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «молекулярная биология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",молекулярная биология; белки; клетка; генная экспрессия,Биология,manual,ru,,/files/doc22.pdf
23,Ботаника,Соколова Ю.П.,2023,"Рассматриваются теоретические и прикладные аспекты темы «ботаника», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",растения; ботаника; флора; систематика,Биология,thesis,ru,,/files/doc23.pdf
24,Зоология: практические аспекты,Попов Д.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «зоология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",животные; зоология; фауна; эволюция,Биология,book,ru,,/files/doc24.pdf
25,Микробиология,Фролова И.А.,2019,"Рассматриваются теоретические и прикладные аспекты темы «микробиология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",микроорганизмы; бактерии; вирусы; лаборатория,Биология,article,ru,,/files/doc25.pdf
26,Органическая химия,Лебедев М.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «органическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",органическая химия; реакции; углерод; синтез,Химия,manual,ru,,/files/doc26.pdf
